ar, map, mae, min_overlap, min_sim, K, min_num_of_ratings, min_rank
0, 0, 0, 5, 0.1, 0, 20, 5
0.005059523809523809804669515179, 0.01190476190476190476190476190, 0, 5, 0.1, 2, 20, 5
0.01703869047619047713631351451, 0.01760137648809523774416310582, 0, 5, 0.1, 4, 20, 5
0.02976190476190476355687950129, 0.02481522817460317436747249276, 0, 5, 0.1, 6, 20, 5
0.03132440476190476364361567511, 0.03317380598072562310042677388, 0, 5, 0.1, 8, 20, 5
0.03511904761904762097646634157, 0.04025713931405895642839072522, 0, 5, 0.1, 10, 20, 5
0.03816964285714285919974355041, 0.04677262903267367495806283170, 0, 5, 0.1, 12, 20, 5
0.04300595238095238327773646842, 0.05295803588772338715294694766, 0, 5, 0.1, 14, 20, 5
0.04657738095238095488391053806, 0.05892467775280275219403796886, 0, 5, 0.1, 16, 20, 5
0.04851190476190476447380476529, 0.06439902026758644326633481633, 0, 5, 0.1, 18, 20, 5
